[11, 2] [1, 3, 2, 3, 2, 3] 10.0 1.9
[25, 19] [0, 0, 1, 0, 1, 0] 10.0 1.9
[21, 1] [0, 3, 0, 2, 1, 3] 10.0 1.9
[1, 23] [1, 0, 1, 0, 1, 0] 10.0 1.9
[20, 26] [2, 2, 0, 2, 3, 2] 10.0 1.9
[20, 20] [2, 0, 2, 0, 1, 0] 10.0 1.9
[6, 3] [3, 2, 1, 3, 0, 2] 53.0 1.20594
[27, 23] [2, 0, 0, 2, 0, 3] 10.0 1.9
[17, 10] [0, 3, 2, 3, 2, 3] 10.0 1.9
[18, 4] [3, 3, 0, 0, 2, 3] 10.0 1.9
[16, 26] [2, 0, 1, 0, 1, 0] 10.0 1.9
[26, 14] [0, 0, 2, 0, 2, 3] 10.0 1.9
[14, 8] [2, 3, 0, 2, 1, 3] 43.0 1.20891
[3, 4] [1, 3, 1, 0, 1, 0] 10.0 1.9
[4, 25] [1, 1, 2, 0, 0, 2] 10.0 1.9
[2, 3] [3, 1, 0, 1, 0, 1] 10.0 1.9
[6, 16] [1, 2, 0, 3, 1, 2] 10.0 1.9
[27, 26] [2, 0, 2, 0, 2, 3] 10.0 1.9
[24, 10] [3, 2, 0, 2, 3, 2] 10.0 1.9
[19, 3] [3, 0, 0, 1, 0, 1] 10.0 1.9
[24, 12] [0, 0, 1, 0, 1, 0] 10.0 1.9
[1, 4] [3, 3, 1, 1, 2, 2] 10.0 1.9
[13, 20] [0, 2, 2, 1, 0, 1] 10.0 1.9
[17, 13] [2, 0, 3, 2, 3, 2] 10.0 1.9
[5, 16] [1, 2, 3, 2, 3, 2] 10.0 1.9
[24, 22] [0, 2, 0, 0, 2, 1] 10.0 1.9
[6, 26] [1, 2, 0, 2, 1, 2] 10.0 1.9
[12, 7] [0, 2, 1, 0, 1, 0] 10.0 1.9
[24, 24] [2, 2, 0, 2, 3, 2] 10.0 1.9
[26, 6] [3, 0, 2, 0, 3, 0] 10.0 1.9
[16, 26] [2, 0, 1, 0, 1, 0] 10.0 1.9
[11, 12] [1, 0, 1, 0, 1, 0] 27.0 1.28883
[11, 22] [0, 1, 0, 1, 0, 1] 10.0 1.9
[20, 26] [2, 2, 0, 2, 3, 2] 10.0 1.9
[4, 22] [2, 2, 1, 2, 1, 3] 10.0 1.9
[4, 1] [3, 1, 2, 1, 3, 2] 10.0 1.9
[13, 13] [2, 0, 1, 0, 1, 0] 10.0 1.9
[5, 14] [2, 2, 3, 2, 3, 2] 10.0 1.9
[14, 24] [2, 0, 1, 0, 1, 0] 10.0 1.9
[17, 2] [0, 0, 1, 0, 1, 0] 10.0 1.9
[16, 21] [0, 0, 1, 0, 1, 0] 10.0 1.9
[19, 0] [3, 2, 0, 0, 1, 0] 10.0 1.9
[25, 10] [3, 2, 0, 0, 0, 2] 10.0 1.9
[20, 4] [0, 3, 0, 3, 2, 3] 10.0 1.9
[25, 6] [3, 0, 2, 0, 3, 1] 10.0 1.9
[5, 27] [1, 2, 2, 0, 1, 0] 10.0 1.9
[5, 22] [1, 2, 2, 2, 3, 2] 10.0 1.9
[1, 4] [1, 1, 0, 1, 0, 1] 10.0 1.9
[0, 20] [1, 2, 2, 3, 2, 3] 10.0 1.9
[21, 1] [0, 3, 2, 3, 2, 3] 10.0 1.9
[26, 10] [3, 0, 0, 0, 2, 1] 10.0 1.9
[14, 19] [0, 1, 0, 1, 0, 1] 29.0 1.22699
[26, 3] [0, 3, 0, 0, 1, 0] 10.0 1.9
[14, 5] [3, 2, 0, 1, 0, 1] 48.0 1.20953
[11, 26] [1, 2, 0, 1, 0, 1] 10.0 1.9
[0, 10] [1, 2, 0, 3, 2, 3] 17.0 1.22664
[26, 14] [2, 3, 0, 0, 2, 0] 10.0 1.9
[12, 4] [0, 3, 2, 3, 2, 3] 10.0 1.9
[4, 9] [3, 1, 0, 1, 0, 1] 10.0 1.9
[5, 9] [3, 1, 2, 3, 2, 3] 10.0 1.9
[25, 19] [0, 0, 1, 0, 1, 0] 10.0 1.9
[5, 2] [3, 3, 1, 2, 3, 2] 10.0 1.9
[22, 1] [3, 0, 2, 0, 1, 0] 10.0 1.9
[24, 7] [2, 3, 0, 3, 0, 2] 10.0 1.9
[14, 14] [0, 1, 0, 1, 0, 1] 52.0 1.20352
[11, 2] [3, 1, 2, 3, 2, 3] 10.0 1.9
[8, 14] [0, 2, 3, 2, 3, 2] 10.0 1.9
[22, 17] [2, 3, 0, 2, 0, 2] 10.0 1.9
