columnCount,stimulusThreshold,numPatterns,time,synPermInactiveDec,dutyCyclePeriod,synPermConnected,synPermActiveInc,potentialPct,result,numActiveColumnsPerInhArea,boostStrength,potentialRadius
2048,2,551,339.12250304222107,0.001,16,0.8,0.01,0.4,12.0,60,0,16
2048,2,2979,372.6695659160614,0.001,16,0.8,0.01,0.4,29.5,80,0,16
2048,2,8757,417.99591422080994,0.001,16,0.8,0.01,0.4,46.56666666666667,120,0,16
4096,2,6156,593.0230798721313,0.001,16,0.8,0.01,0.4,41.833333333333336,80,0,16
4096,2,6937,621.234237909317,0.001,16,0.8,0.01,0.4,41.233333333333334,100,0,16
